date,isu,acr,ivol1m
08-01-1995,0.039257699,0.00369334,-0.005575817
09-01-1995,-0.006693374,0.005351336,0.038066221
10-01-1995,-0.023847503,0.019778535,0.091906598
11-01-1995,0.012409029,-0.002340881,0.018652654
12-01-1995,-0.013404643,0.007935145,0.070962381
01-01-1996,-0.001590297,-0.003403777,0.038647452
02-01-1996,0.026637267,-0.003184638,-0.024503886
03-01-1996,0.005848272,-0.00489079,0.025737316
04-01-1996,0.015410661,0.005463525,-0.138893726
05-01-1996,0.007915399,0.000948539,-0.064751453
06-01-1996,-0.023167756,0.011392762,0.127560158
07-01-1996,0.000452125,-0.010379626,0.12441648
08-01-1996,0.034215579,0.00182973,-0.060353776
09-01-1996,0.029647224,-0.004151762,-0.008803321
10-01-1996,0.022920453,-0.009233812,0.121990094
11-01-1996,0.019444542,-0.013929123,0.04771505
12-01-1996,-0.004479529,0.003476874,0.027879278
01-01-1997,0.029633172,-0.006315739,0.005630396
02-01-1997,-0.009308465,-0.013155722,0.110593359
03-01-1997,-0.023717592,0.008070922,0.067300286
04-01-1997,0.013887946,-0.00052515,0.076593948
05-01-1997,0.031406314,-0.002890918,-0.119747965
06-01-1997,-0.000270263,0.006562176,0.033512698
07-01-1997,0.056307068,-0.032411506,0.032156485
08-01-1997,0.014463324,0.009543064,-0.083485343
09-01-1997,0.030373981,-0.005033054,0.004811291
10-01-1997,-0.003895349,-0.006574008,0.048315316
11-01-1997,-0.034748438,0.004184884,0.097978944
12-01-1997,-0.007563431,-0.019565521,0.088385966
01-01-1998,0.017522556,0.013004926,0.018555273
02-01-1998,0.028463084,-0.004550594,-0.02007461
03-01-1998,0.000417018,-0.004059807,0.007768201
04-01-1998,0.014179783,0.006090284,-0.031470405
05-01-1998,-0.030284901,-0.001340964,0.064822706
06-01-1998,0.022801335,0.005134004,0.016853057
07-01-1998,0.011652478,0.010939582,0.044973116
08-01-1998,-0.079832432,0.039033847,0.155280367
09-01-1998,0.034121316,0.02468743,0.045963838
10-01-1998,0.03534182,-0.015841653,-0.012826545
11-01-1998,0.015686578,-0.001480904,-0.072883605
12-01-1998,0.05623869,0.009336446,-0.038795635
01-01-1999,0.077953047,0.020266719,-0.168754383
02-01-1999,0.011532052,-0.019088661,0.054351823
03-01-1999,0.03018819,0.015403207,-0.072011117
04-01-1999,-0.021131657,-0.033842132,-0.115977949
05-01-1999,-0.019995613,-0.001905973,0.047215913
